County,City,Date Local,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
Bronx,New York,6/25/2000,24.958333,0.024125,3.9625,0.6
Bronx,New York,6/25/2000,24.958333,0.024125,3.9625,0.6125
Bronx,New York,6/26/2000,35.625,0.031125,9.166667,0.629167
Bronx,New York,6/26/2000,35.625,0.031125,9.1375,0.629167
Bronx,New York,6/27/2000,29.291667,0.025542,7.809524,0.541667
Bronx,New York,6/27/2000,29.291667,0.025542,7.809524,0.575
Bronx,New York,6/27/2000,29.291667,0.025542,7.366667,0.541667
Bronx,New York,6/27/2000,29.291667,0.025542,7.366667,0.575
Bronx,New York,6/28/2000,27.75,0.023125,4.208333,0.470833
Bronx,New York,6/28/2000,27.75,0.023125,4.208333,0.458333
Bronx,New York,6/28/2000,27.75,0.023125,4.1875,0.470833
Bronx,New York,6/28/2000,27.75,0.023125,4.1875,0.458333
Bronx,New York,6/29/2000,35.636364,0.016292,3.833333,0.677273
Bronx,New York,6/29/2000,35.636364,0.016292,3.833333,0.629167
Bronx,New York,6/29/2000,35.636364,0.016292,3.8,0.677273
Bronx,New York,6/29/2000,35.636364,0.016292,3.8,0.629167
Bronx,New York,6/30/2000,27.833333,0.023083,5.416667,0.516667
Bronx,New York,6/30/2000,27.833333,0.023083,5.416667,0.5875
Bronx,New York,6/30/2000,27.833333,0.023083,5.3875,0.516667
Bronx,New York,6/30/2000,27.833333,0.023083,5.3875,0.5875
Bronx,New York,7/1/2000,33.958333,0.028125,5.25,0.5375
Bronx,New York,7/1/2000,33.958333,0.028125,5.25,0.508333
Bronx,New York,7/1/2000,33.958333,0.028125,5.2125,0.5375
Bronx,New York,7/1/2000,33.958333,0.028125,5.2125,0.508333
Bronx,New York,7/2/2000,36.041667,0.04,9.416667,0.575
Bronx,New York,7/2/2000,36.041667,0.04,9.416667,0.554167
Bronx,New York,7/2/2000,36.041667,0.04,9.4,0.575
Bronx,New York,7/2/2000,36.041667,0.04,9.4,0.554167
Bronx,New York,7/3/2000,42.458333,0.031,8.857143,0.690476
Bronx,New York,7/3/2000,42.458333,0.031,8.857143,0.711111
Bronx,New York,7/3/2000,42.458333,0.031,8.233333,0.690476
Bronx,New York,7/3/2000,42.458333,0.031,8.233333,0.711111
Bronx,New York,7/4/2000,27.541667,0.036083,6.041667,0.6375
Bronx,New York,7/4/2000,27.541667,0.036083,6.041667,0.670833
Bronx,New York,7/4/2000,27.541667,0.036083,6.0125,0.6375
Bronx,New York,7/4/2000,27.541667,0.036083,6.0125,0.670833
Bronx,New York,7/5/2000,22.571429,0.029208,3.833333,0.370833
Bronx,New York,7/5/2000,22.571429,0.029208,3.833333,0.408333
Bronx,New York,7/5/2000,22.571429,0.029208,3.8,0.370833
Bronx,New York,7/5/2000,22.571429,0.029208,3.8,0.408333
Bronx,New York,7/6/2000,19.583333,0.025167,3.25,0.325
Bronx,New York,7/6/2000,19.583333,0.025167,3.25,0.3375
Bronx,New York,7/6/2000,19.583333,0.025167,3.2125,0.325
Bronx,New York,7/6/2000,19.583333,0.025167,3.2125,0.3375
Bronx,New York,7/7/2000,19.333333,0.018125,4.458333,0.304167
Bronx,New York,7/7/2000,19.333333,0.018125,4.458333,0.3125
Bronx,New York,7/7/2000,19.333333,0.018125,4.4375,0.304167
Bronx,New York,7/7/2000,19.333333,0.018125,4.4375,0.3125
Bronx,New York,7/8/2000,18.208333,0.017542,3.416667,0.283333
Bronx,New York,7/8/2000,18.208333,0.017542,3.416667,0.25
Bronx,New York,7/8/2000,18.208333,0.017542,3.3875,0.283333
Bronx,New York,7/8/2000,18.208333,0.017542,3.3875,0.25
Bronx,New York,7/9/2000,30.958333,0.034333,7.416667,0.5375
Bronx,New York,7/9/2000,30.958333,0.034333,7.416667,0.533333
Bronx,New York,7/9/2000,30.958333,0.034333,7.4,0.5375
Bronx,New York,7/9/2000,30.958333,0.034333,7.4,0.533333
Bronx,New York,7/10/2000,23.791667,0.034042,5.913043,0.45
Bronx,New York,7/10/2000,23.791667,0.034042,5.913043,0.479167
Bronx,New York,7/10/2000,23.791667,0.034042,5.871429,0.45
Bronx,New York,7/10/2000,23.791667,0.034042,5.871429,0.479167
Bronx,New York,7/11/2000,19.875,0.024958,4.625,0.3125
Bronx,New York,7/11/2000,19.875,0.024958,4.625,0.316667
Bronx,New York,7/11/2000,19.875,0.024958,4.575,0.3125
Bronx,New York,7/11/2000,19.875,0.024958,4.575,0.316667
Bronx,New York,7/12/2000,25,0.024833,4.916667,0.3625
Bronx,New York,7/12/2000,25,0.024833,4.916667,0.329167
Bronx,New York,7/12/2000,25,0.024833,4.8875,0.3625
Bronx,New York,7/12/2000,25,0.024833,4.8875,0.329167
Bronx,New York,7/13/2000,37.956522,0.02625,7.666667,0.526087
Bronx,New York,7/13/2000,37.956522,0.02625,7.666667,0.525
Bronx,New York,7/13/2000,37.956522,0.02625,7.6375,0.526087
Bronx,New York,7/13/2000,37.956522,0.02625,7.6375,0.525
Bronx,New York,7/14/2000,30.791667,0.025375,5.083333,0.6
Bronx,New York,7/14/2000,30.791667,0.025375,5.083333,0.604167
Bronx,New York,7/14/2000,30.791667,0.025375,5.05,0.6
Bronx,New York,7/14/2000,30.791667,0.025375,5.05,0.604167
Bronx,New York,7/15/2000,17.375,0.022583,1.791667,0.5125
Bronx,New York,7/15/2000,17.375,0.022583,1.791667,0.516667
Bronx,New York,7/15/2000,17.375,0.022583,1.775,0.5125
Bronx,New York,7/15/2000,17.375,0.022583,1.775,0.516667
Bronx,New York,7/16/2000,27.416667,0.032,3.791667,0.641667
Bronx,New York,7/16/2000,27.416667,0.032,3.791667,0.633333
Bronx,New York,7/16/2000,27.416667,0.032,3.75,0.641667
Bronx,New York,7/16/2000,27.416667,0.032,3.75,0.633333
Bronx,New York,7/17/2000,23.625,0.027083,2.217391,0.6
Bronx,New York,7/17/2000,23.625,0.027083,2.217391,0.620833
Bronx,New York,7/17/2000,23.625,0.027083,2.214286,0.6
Bronx,New York,7/17/2000,23.625,0.027083,2.214286,0.620833
Bronx,New York,7/18/2000,33.083333,0.033875,10.875,0.654167
Bronx,New York,7/18/2000,33.083333,0.033875,10.875,0.679167
Bronx,New York,7/18/2000,33.083333,0.033875,10.8375,0.654167
Bronx,New York,7/18/2000,33.083333,0.033875,10.8375,0.679167
Bronx,New York,7/19/2000,27.875,0.005389,6.291667,0.654167
Bronx,New York,7/19/2000,27.875,0.005389,6.291667,0.6
Bronx,New York,7/19/2000,27.875,0.005389,6.2625,0.654167
Bronx,New York,7/19/2000,27.875,0.005389,6.2625,0.6
Bronx,New York,7/20/2000,26.208333,0.020083,4.208333,0.6125
Bronx,New York,7/20/2000,26.208333,0.020083,4.208333,0.625
Bronx,New York,7/20/2000,26.208333,0.020083,4.175,0.6125
Bronx,New York,7/20/2000,26.208333,0.020083,4.175,0.625
Bronx,New York,7/21/2000,35.6,0.032667,11.125,0.745833
Bronx,New York,7/21/2000,35.6,0.032667,11.125,0.770833
Bronx,New York,7/21/2000,35.6,0.032667,11.0875,0.745833
Bronx,New York,7/21/2000,35.6,0.032667,11.0875,0.770833
Bronx,New York,7/22/2000,23.125,0.026875,4.875,0.545833
Bronx,New York,7/22/2000,23.125,0.026875,4.875,0.566667
Bronx,New York,7/22/2000,23.125,0.026875,4.8375,0.545833
Bronx,New York,7/22/2000,23.125,0.026875,4.8375,0.566667
Bronx,New York,7/23/2000,24.791667,0.023208,4.333333,0.520833
Bronx,New York,7/23/2000,24.791667,0.023208,4.333333,0.4875
Bronx,New York,7/23/2000,24.791667,0.023208,4.3125,0.520833
Bronx,New York,7/23/2000,24.791667,0.023208,4.3125,0.4875
Bronx,New York,7/24/2000,28.708333,0.023667,6.583333,0.641667
Bronx,New York,7/24/2000,28.708333,0.023667,6.583333,0.679167
Bronx,New York,7/24/2000,28.708333,0.023667,6.55,0.641667
Bronx,New York,7/24/2000,28.708333,0.023667,6.55,0.679167
Bronx,New York,7/25/2000,18.375,0.025958,5.454545,0.468182
Bronx,New York,7/25/2000,18.375,0.025958,5.454545,0.5
Bronx,New York,7/25/2000,18.375,0.025958,5.6,0.468182
Bronx,New York,7/25/2000,18.375,0.025958,5.6,0.5
Bronx,New York,7/26/2000,16.318182,0.015125,2.333333,0.491667
Bronx,New York,7/26/2000,16.318182,0.015125,2.333333,0.495833
Bronx,New York,7/26/2000,16.318182,0.015125,2.3125,0.491667
Bronx,New York,7/26/2000,16.318182,0.015125,2.3125,0.495833
Bronx,New York,7/27/2000,19.416667,0.006917,2.583333,0.583333
Bronx,New York,7/27/2000,19.416667,0.006917,2.583333,0.558333
Bronx,New York,7/27/2000,19.416667,0.006917,2.5625,0.583333
Bronx,New York,7/27/2000,19.416667,0.006917,2.5625,0.558333
Bronx,New York,7/28/2000,20.125,0.012083,3,0.566667
Bronx,New York,7/28/2000,20.125,0.012083,3,0.55
Bronx,New York,7/28/2000,20.125,0.012083,2.975,0.566667
Bronx,New York,7/28/2000,20.125,0.012083,2.975,0.55
Bronx,New York,7/29/2000,27.291667,0.010708,2.875,0.679167
Bronx,New York,7/29/2000,27.291667,0.010708,2.875,0.7
Bronx,New York,7/29/2000,27.291667,0.010708,2.8625,0.679167
Bronx,New York,7/29/2000,27.291667,0.010708,2.8625,0.7
Bronx,New York,7/30/2000,19.666667,0.012208,2.25,0.6
Bronx,New York,7/30/2000,19.666667,0.012208,2.25,0.641667
Bronx,New York,7/30/2000,19.666667,0.012208,2.2375,0.6
Bronx,New York,7/30/2000,19.666667,0.012208,2.2375,0.641667
Bronx,New York,7/31/2000,13.541667,0.017625,1.454545,0.468182
Bronx,New York,7/31/2000,13.541667,0.017625,1.454545,0.4875
Bronx,New York,7/31/2000,13.541667,0.017625,1.457143,0.468182
Bronx,New York,7/31/2000,13.541667,0.017625,1.457143,0.4875
Bronx,New York,8/1/2000,19.541667,0.004444,5.5,0.583333
Bronx,New York,8/1/2000,19.541667,0.004444,5.5,0.55
Bronx,New York,8/1/2000,19.541667,0.004444,5.475,0.583333
Bronx,New York,8/1/2000,19.541667,0.004444,5.475,0.55
Bronx,New York,8/2/2000,32.904762,0.026,7.041667,0.845833
Bronx,New York,8/2/2000,32.904762,0.026,7.041667,0.85
Bronx,New York,8/2/2000,32.904762,0.026,7.0125,0.845833
Bronx,New York,8/2/2000,32.904762,0.026,7.0125,0.85
Bronx,New York,8/3/2000,39,0.009042,11.5,0.808333
Bronx,New York,8/3/2000,39,0.009042,11.5,0.758333
Bronx,New York,8/3/2000,39,0.009042,11.475,0.808333
Bronx,New York,8/3/2000,39,0.009042,11.475,0.758333
Bronx,New York,8/4/2000,27.958333,0.018542,4.375,0.641667
Bronx,New York,8/4/2000,27.958333,0.018542,4.375,0.683333
Bronx,New York,8/4/2000,27.958333,0.018542,4.3375,0.641667
Bronx,New York,8/4/2000,27.958333,0.018542,4.3375,0.683333
Bronx,New York,8/5/2000,22.291667,0.02225,3.541667,0.5
Bronx,New York,8/5/2000,22.291667,0.02225,3.5125,0.5
Bronx,New York,8/6/2000,29.916667,0.030417,6.708333,0.679167
Bronx,New York,8/6/2000,29.916667,0.030417,6.708333,0.725
Bronx,New York,8/6/2000,29.916667,0.030417,6.675,0.679167
